SEQ_NO,ISBN_THIRTEEN_NO,TITLE_NM,AUTHR_NM,PUBLISHER_NM,PBLICTE_DE,IMAGE_URL,BOOK_INTRCN_CN,KDC_NM
311954,9788970672359,초스피드 기억법=(The)superspeed remember method,손동조 지음,업투,2004[실은 20,http://image.aladin.co.kr/product/43/90/cover/8970672354_1.jpg,이 책은 기억법의 차이가 우등생과 열등생을 낳는다고 이야기하며 일이나 학습에 있어 좀 더 나은 효율성을 위해 참신한 기억법을 소개한 책 빠른 기억법의 이해부터 마인드 컨트롤 공간력으로 기억하는 법 문자나 숫자에서 연상되는 말로 기억하는 법 등을 수록했다,181.4
312298,9788952602459,(클릭)형사소송법개론,이승준 편저,서울고시각,2004[실은 20,http://image.aladin.co.kr/product/44/37/cover/8952602455_1.jpg,기본 학습을 통해 내용을 익히도록 하였고 기본내용 본문에 판례를 같이 넣어 문장으로 표현하였다 지금까지 출제된 모든 객관식 시험문제의 기출표기를 본문에 표현하여 중요한 내용을 알 수 있게 하였고 보충정리를 통해 이해가 어려운 내용이나 기타 보충해야 할 내용을 정리하여 완전한 이해를 돕고자 ,367.4
312300,9788952602442,(클릭)형법총론,김중근 편저,서울고시각,2004[실은 20,http://image.aladin.co.kr/product/44/37/cover/8952602447_1.gif, 이 책의 특징 서론범죄론형벌론에 관한 설명과 판례와 법조문을 체계적으로 엮어 형법총론에 대한 쉬운 학습 방법을 제시한 기본서이다개인적사회적국가적 법익에 관한 범죄를 제편 형법각론으로 배치하여 형법총론과 상관있는 판례를 유기적으로 정리할 수 있도록 구성했다스피드 체킹 ,364.1
312305,9788952602480,(新)맥헌법,채한태 저,서울고시각,2004[실은 20,https://bookthumb-phinf.pstatic.net/cover/001/366/00136626.jpg?type=m1&udate=20100111, 방대하고 난해한 헌법이론을 알기 쉽게 서술한 후 도표나 핵심를 통하여 명쾌하게 정리하였다  어려운 문제에 쉽게 적응할 수 있도록 심층적인 이론과 문제를 대폭 보완하여 고시문제까지 해결할 수 있도록 하였다 또한 고시문제를 빠짐없이 수록하여 고난도 문제해결능력을 함양할 수 있도록 ,362.0
312333,9788940691793,(2004 단기완성)워드프로세서:1급(2급) 필기문제,IT자격시험연구회 저,크라운출판사,2004[실은 20,https://bookthumb-phinf.pstatic.net/cover/001/343/00134375.jpg?type=m1&udate=20130629,이 책은 문제유형을 철저히 분석 파악하여 출제문제의 적중률을 높이도록 하였다 핵심요약 정리식으로 짧은시간 내에 합격할 수 있게 구성하였으며 자주 출제되었던 기출문제를 단원별로 상세하게 해설하고 있다 또 스스로 학습하는 장별예상문제 최근기출문제를 수록하고 있다 ,325.57077
312347,9788940691786,(2004 단기완성)컴퓨터활용능력:2급(3급) 필기문제,IT자격시험연구회 저,크라운출판사,2004[실은 20,http://image.aladin.co.kr/product/44/18/cover/8940691784_1.jpg,과년도 출제되었던 문제를 분석 정리 요약하여 내용을 수록하였으며 최근에 출제되었던 문제들을 본문의 중간 중간에 제시하여 줌으로 해당 내용을 이해하고 출제될 문제의 유형을 파악하기 쉽도록 하였다,4.077
312355,9788940682951,(최신)미용사총정리:이론요약적중출제예상문제,손보실 저,크라운출판사,2004[실은 20,https://bookthumb-phinf.pstatic.net/cover/001/399/00139983.jpg?type=m1&udate=20060428,적중출제예상문제를 수록하였습니다 최근까지 지난년도 시행 출제문제를 수록하여 시험출제경향을 완벽하게 분석할 수 있음으로 시험에 대비를 할 수있습니다,593.077
312389,9788984651265,부동산 권리분석 이론,정승호 저,부연사,2004[실은 20,http://image.aladin.co.kr/product/44/26/cover/8984651265_1.gif,그간 출간한 부동산에 관한 책들과 미국의 부동산에 관한 전문서적들을 통해 현실적으로 부동산권원보험 인수에 필요한 권원조사업무와 에스크로우회사에서 필요로 하는 권원조사업무를 한국 부동산관련법과 등기제도에 맞게 서술한 책이다 또한 부동산권우너보험의 영역인 부동산거래 부동산개발 경매 ,365.72
312401,9788989711087,한자능력검정시험:4급·4급II(5·6급 포함),한자능력검정시험연구원 편저,고시연구원,2004[실은 20,http://image.aladin.co.kr/product/28/76/cover/8989711088_1.gif,공부하기에 많은 어려움이 따르는 한자를 쉽게 이해하는 방법 중 한가지는 한자의 유래를 이해하는 것이다 이러한 한자의 유래를 살펴보면 아무리 어려운 한자라 할지라도 일정한 가지의 원리에 의하여 만들어진 것을 알 수 있는데 이러한 각각의 원리를 설명하여 한자를 배우고 익히는데 많은 도움을 주고자 ,711.47
312414,9788989711094,한자능력검정시험 특별대비:4급·4급II(5·6급 포함) : 쓰기연습 포함,한자능력검정시험연구원 편저,고시연구원,2004[실은 20,http://image.aladin.co.kr/product/28/76/cover/8989711096_1.gif,공부하기에 많은 어려움이 따르는 한자를 쉽게 이해하는 방법 중 한가지는 한자의 유래를 이해하는 것이다 이러한 한자의 유래를 살펴보면 아무리 어려운 한자라 할지라도 일정한 가지의 원리에 의하여 만들어진 것을 알 수 있는데 이러한 각각의 원리를 설명하여 한자를 배우고 익히는데 많은 도움을 주고자 ,711.47
